id,ai,deck,score,age,boardgameexp,gamer,hanabiexp,recent,maxscore,intention,skill,like,publish
bcbbc9bc2cd7369f, intentional, 3, 18, 30s, 4, yes, 4, 4, 4, 2, 2, 2, yes
53d46d46c9ef0e14, intentional, 4, 13, 20s, 4, yes, 2, 1, 1, 3, 2, 1, yes
8ccaf453a0801482, intentional, 3, 15, 20s, 4, yes, 4, 4, 2, 3, 2, 2, yes
8f48cd1f7a4fa984, outer, 5, 7, 20s, 4, yes, 4, 4, 2, 4, 4, 3, yes
7c26a1292a2fb6e4, outer, 2, 5, 40s, 4, yes, 4, 4, 4, 3, 1, 2, yes
206a8222428d1fc7, full, 1, 13, 20s, 4, yes, 4, 4, 3, 2, 1, 2, yes
b413fa2ae9b71b8f, full, 4, 2, 20s, 4, yes, 3, 4, 3, 1, 1, 1, yes
a031765c4ab49edb, intentional, 4, 7, 50s, 4, yes, 4, 4, 4, 3, 1, 4, yes
c2136bb768e3f781, full, 1, 20, 30s, 2, no, 1, 1, 1, 4, 4, 4, yes
0aa98710d4bf8ecf, intentional, 3, 17, 20s, 4, yes, 3, 4, 3, 2, 1, 1, yes
437e93c5fb55d0b9, intentional, 4, 19, 30s, 4, yes, 3, 4, 1, 3, 3, 3, yes
614a406f6ac4d07d, outer, 4, 10, 20s, 4, yes, 4, 4, 4, 2, 1, 1, yes
344c73764f8f87f2, full, 5, 12, 30s, 4, yes, 2, 3, 2, 4, 2, 2, yes
e7eea88677174a0b, intentional, 5, 18, , , , , , , , , , yes
225448dc520d9fde, outer, 5, 13, 30s, 4, yes, 4, 4, 3, 2, 2, 2, yes
2e6f0ef07649dff2, outer, 1, 13, 20s, 4, yes, 3, 4, 2, 3, 2, 1, yes
0f5160401ea3925f, outer, 1, 9, 20s, 3, yes, 3, 3, 2, 3, 2, 2, yes
1e1f08c3d004335b, outer, 1, 8, 20s, 4, yes, 2, 4, 1, 3, 1, 1, yes
19dbddedf07994e2, outer, 3, 8, 30s, 4, yes, 4, 4, 4, 5, 3, 3, yes
1280a9a0be507027, full, 1, 17, 20s, 3, yes, 4, 4, 2, 3, 3, 3, yes
3e8f905982a0ce47, full, 2, 11, 40s, 4, yes, 4, 4, 4, 3, 1, 1, yes
f3aabac4ab33a2ef, full, 5, 3, 20s, 4, yes, 3, 4, 2, 3, 3, 2, yes
b61b6ba65fc547f3, full, 5, 14, 30s, 4, yes, 2, 4, 1, 3, 3, 4, yes
b0241aa48c88bd1b, full, 3, 11, 20s, 4, yes, 3, 3, 3, 3, 1, 1, yes
77b66a0509916d51, intentional, 2, 16, 50s, 3, yes, 2, 4, 1, 3, 3, 4, yes
13b659b1ef159332, full, 2, 17, 30s, 4, yes, 3, 4, 3, 3, 2, 3, yes
83f14b7437375831, intentional, 2, 18, 20s, 4, yes, 3, 3, 1, 3, 3, 2, yes
1813592b65bc5438, full, 1, 9, 30s, 4, yes, 4, 4, 4, 2, 1, 1, yes
c44580091c0ad5ad, full, 1, 18, 50s, 4, yes, 3, 4, 1, 4, 3, 4, yes
dca779aad57531f1, outer, 4, 10, 20s, 4, yes, 3, 4, 1, 3, 3, 5, yes
9abbfce66b016fef, outer, 4, 18, 40s, 4, yes, 4, 4, 2, 3, 2, 2, yes
368dcb012acd2bd4, outer, 2, 4, 20s, 4, yes, 3, 4, 2, 2, 1, 1, yes
0e7e164bfc1b4f55, full, 5, 18, 20s, 4, yes, 4, 3, 2, 4, 4, 4, yes
7c8a754aef23a6e3, intentional, 1, 3, 20s, 3, no, 1, 1, 1, 4, 4, 3, yes
80b582ddeb40b2ce, intentional, 1, 18, 20s, 4, yes, 3, 4, 3, 2, 1, 1, yes
c42b59a695868588, outer, 4, 18, 30s, 4, yes, 3, 3, 2, 4, 1, 1, yes
f2d5139df774f875, full, 1, 19, 30s, 3, yes, 2, 3, 2, 3, 2, 2, yes
74429056aeea0370, outer, 3, 6, 20s, 4, yes, 2, 4, 3, 2, 3, 4, yes
609a6b966c25b4d1, intentional, 3, 18, 30s, 4, no, 4, 4, 4, 3, 3, 3, yes
ea31d3dfe650517d, outer, 4, 10, 30s, 4, yes, 3, 4, 1, 3, 3, 4, yes
7007a1f9c84cefe6, outer, 3, 11, 40s, 4, yes, 3, 4, 1, 3, 2, 2, yes
2e44154140f87dcd, intentional, 2, 18, 20s, 4, yes, 4, 4, 2, 3, 2, 4, yes
ff5abca3be7f134b, full, 5, 20, 50s, 4, , 3, 4, 1, 4, 3, 4, yes
5bbf63ab6fec288e, outer, 3, 19, 20s, 4, yes, 2, 4, 2, 2, 3, 3, yes
ccf123e77a8b92b2, full, 4, 14, 20s, 4, yes, 2, 3, 1, 3, 3, 3, yes
47fda529d1b27280, outer, 2, 3, 30s, 4, yes, 4, 4, 3, 2, 1, 1, yes
6da4c89a4f55676a, outer, 3, 18, 20s, 4, yes, 3, 4, 2, 4, 3, 4, yes
ab363adc4024ff3c, full, 1, 8, , , , , , , , , , yes
e90bf79bebf9d078, outer, 4, 9, 20s, 4, yes, 3, 4, 4, 2, 2, 3, yes
2c99b217faca51f8, outer, 3, 10, 20s, 4, yes, 4, 4, 4, 4, 2, 4, yes
20122752d1b9cd72, full, 1, 18, 20s, 4, yes, 3, 3, 2, 4, 3, 4, yes
4884f857be239a22, full, 1, 18, 20s, 1, no, 1, , 1, 3, 4, 5, yes
d32d69e3457e91ea, intentional, 2, 14, 40s, 4, yes, 2, 4, 1, 2, 2, 2, yes
911b50e2486c6186, intentional, 2, 19, 20s, 4, yes, 2, 4, 2, 3, 2, 2, yes
5071f4f9f28c13b3, intentional, 1, 18, , 4, yes, 4, 4, 4, 4, 2, 3, yes
feffcf826728317c, intentional, 4, 15, 50s, 3, no, 1, 1, 1, 4, 3, 4, yes
1d9428fe2df1528d, outer, 3, 5, 20s, 4, yes, 3, 4, 4, 3, 2, 1, yes
4b629589b0170dda, intentional, 1, 9, 20s, 4, yes, 2, 4, 3, 5, 3, 3, yes
6ba9b481f9f027e8, intentional, 2, 13, 30s, 4, yes, 3, 4, 2, 3, 2, 4, yes
ef8f6f04f04e663d, intentional, 5, 20, 50s, 4, yes, 4, 3, 4, 3, 2, 2, yes
1d3487df6761d44e, outer, 4, 16, 20s, 4, yes, 3, 4, 2, 2, 1, 2, yes
afcb642cda4b2ec6, intentional, 5, 17, 20s, 4, yes, 4, 4, 4, 4, 2, 2, yes
a23bfbc1788ea3a2, outer, 1, 9, 40s, 4, yes, 3, 4, 3, 2, 2, 3, yes
5023a56c073ba150, full, 5, 13, 30s, 4, yes, 2, 4, 3, 4, 3, 4, yes
8fef31f6e130d228, intentional, 2, 16, 30s, 4, yes, 4, 4, 3, 2, 2, 2, yes
73d45ec644828e1a, full, 2, 20, 30s, 4, yes, 3, 2, 3, 3, 2, 2, yes
3fe007ffcb356bf9, outer, 2, 15, 40s, 4, yes, 3, 4, 2, 2, 1, 1, yes
f84d104ad34eaf84, intentional, 4, 8, 20s, 4, yes, 3, 4, 4, 1, 1, 1, yes
7d6a88e8113679a3, outer, 3, 13, , , , , , , , , , yes
768862e11a280fd0, outer, 5, 6, , , , , , , , , , yes
0313454f0e513527, outer, 2, 7, , , , , , , 3, 2, 4, yes
2d784fe60bc13843, intentional, 4, 12, 30s, 4, yes, 1, 1, 1, 3, 2, 4, yes
e55525e0b2004294, intentional, 5, 19, 20s, 4, yes, 4, 4, 4, 3, 3, 3, yes
128d55de46314e3b, full, 5, 4, 30s, 4, yes, 1, 1, 1, 2, 1, 1, yes
941511d8e1f0a1ac, outer, 1, 13, 20s, 4, yes, 4, 4, 3, 2, 2, 1, yes
be67603ea9cfc3d5, intentional, 4, 18, 30s, 4, yes, 4, 4, 4, 2, 2, 1, yes
d2f1c88c0be4a19b, intentional, 4, 13, 30s, 4, yes, 3, 4, 1, 2, 2, 2, yes
74713c9049904ddf, outer, 4, 7, 30s, 4, yes, 3, 4, 1, 3, 3, 4, yes
9a0bd50e414b077d, full, 3, 5, 30s, 3, no, 2, 4, 3, 3, 2, 2, yes
6ccededecee01838, intentional, 2, 18, , , , , , , , , , yes
5a867fcc194cedec, full, 5, 18, 20s, 4, yes, 3, 4, 3, 4, 4, 4, yes
cdef71d5c1475ff1, intentional, 1, 7, 30s, 4, yes, 3, 3, 2, 2, 1, 2, yes
bb36c89153d02b9a, full, 3, 6, 20s, 3, no, 3, 4, 2, 4, 3, 4, yes
a490963ae4c840bc, intentional, 5, 14, 30s, 4, yes, 4, 4, 4, 2, 1, 1, yes
46e8a5186d238bc1, full, 4, 12, 20s, 4, yes, 2, 4, 2, 3, 4, 4, yes
714d7c8007d03d69, outer, 4, 5, 30s, 4, yes, 4, 4, 4, 4, 1, 1, yes
10ff61d3893e0196, full, 2, 9, 20s, 4, yes, 3, 3, 2, 3, 2, 2, yes
f60bfb6b52b3f702, intentional, 1, 14, 20s, 4, yes, 3, 4, 2, 2, 1, 2, yes
d757cef7238ebbec, intentional, 3, 15, 30s, 4, yes, 4, 3, 2, 2, 2, 2, yes
8eef91a28eff270a, outer, 1, 16, 30s, 4, yes, 4, 4, 3, 3, 1, 1, yes
8191d376ff0b4442, outer, 3, 11, 20s, 4, yes, 2, 3, 3, 4, 3, 4, yes
5cf5c2ba02ee6bb5, full, 5, 11, 20s, 3, no, 1, 1, 1, 4, 4, 4, yes
20980e2265b3d724, full, 2, 4, 20s, 4, yes, 4, 4, 3, 3, 2, 2, yes
5fac4eb85b807c41, intentional, 5, 13, 20s, 4, yes, 2, 4, 1, 3, 2, 5, yes
0c12fb41717c67fc, full, 1, 20, 30s, 3, yes, 2, 3, 2, 4, 4, 4, yes
a6e782556623dbce, full, 1, 15, 20s, 4, yes, 4, 4, 1, 3, 3, 3, yes
a9dac7f44bb4198f, outer, 4, 8, , , , , , , , , , yes
606754cfbea75770, intentional, 1, 14, 30s, 4, yes, 2, 2, 1, 2, 3, 2, yes
7f6593400354747f, full, 1, 14, 20s, 3, yes, 2, 2, 1, 1, 1, 2, yes
11b4d243a5de3777, outer, 3, 3, 20s, 4, yes, 3, 4, 3, 5, 1, 1, yes
efda2105fce657a8, full, 1, 18, 30s, 4, yes, 4, 4, 2, , 4, 2, yes
5a86ce944e7078c1, outer, 5, 11, 20s, 4, yes, 3, 4, 3, 2, 1, 1, yes
2af874d749a75ec8, outer, 3, 5, 20s, 4, yes, 1, 1, 1, 3, 2, 2, yes
8a6febcf85c544d4, intentional, 5, 20, , , , , , , , , , yes
9b19bf2e8fb8e2f1, outer, 2, 12, 30s, 4, yes, 3, 3, 2, 4, 4, 4, yes
71032e877b57a188, full, 1, 19, 20s, 4, yes, 3, 4, 4, 3, 2, 3, yes
f17c71b6d21b5f4f, intentional, 5, 5, 20s, 4, yes, 1, 1, 1, 3, 3, 3, yes
148a9ac8b8ae8634, intentional, 3, 13, 40s, 3, yes, 2, 2, 1, 3, 2, 2, yes
12e78e390a573b38, full, 5, 13, 30s, 4, yes, 3, 3, 4, 4, 2, 4, yes
5baddd1573b2f644, intentional, 5, 16, 30s, 4, yes, 3, 4, 3, 2, 2, 1, yes
4dfaca0d49a903d7, intentional, 3, 16, 30s, 4, yes, 2, 2, 2, 5, 4, 4, yes
82dbaca2150b72ac, outer, 3, 5, 20s, 4, yes, 4, 4, 4, 3, 2, 4, yes
46d350a033c35853, full, 3, 17, 40s, 3, no, 2, 4, 2, 5, 4, 5, yes
f6b5b2832db6574a, outer, 4, 20, 20s, 4, yes, 4, 3, 4, 3, 2, 1, yes
e3f99bfa4535678e, outer, 5, 4, 20s, 4, yes, 2, 4, 1, 2, 2, 3, yes
4dacd064a3248f0e, full, 5, 18, , , , , , , , , , yes
3c9aaeb0d04b438d, outer, 1, 10, 20s, 4, yes, 3, 4, 2, 3, 1, 2, yes
f5b1cb17dbec782a, full, 5, 19, 20s, 4, yes, 3, 3, 1, 4, 3, 3, yes
bee42cbbcf5755e4, outer, 5, 4, 20s, 4, yes, 1, 1, 1, 3, 3, 3, yes
5d82cb8a155dbd34, full, 5, 21, 20s, 4, yes, 3, 4, 3, 4, 5, 5, yes
84764327def60e22, intentional, 4, 19, 30s, 4, yes, 3, 4, 3, 4, 3, 4, yes
f10ef47e05746467, outer, 5, 9, 30s, 4, yes, 4, 4, 3, 4, 3, 4, yes
7efc5873e6c46721, intentional, 5, 18, 20s, 4, yes, 3, 4, 3, 3, 3, 3, yes
06f86707644f3a56, intentional, 5, 17, 20s, 4, yes, 2, 4, 1, 4, 3, 2, yes
9e777a71681dfa82, outer, 2, 13, 40s, 4, yes, 3, 4, 1, 3, 2, 4, yes
594a2daf965aa5ca, full, 2, 3, 20s, 4, yes, 2, 4, 2, 2, 1, 1, yes
fbadf6e2726d706f, outer, 2, 16, 30s, 4, yes, 3, 4, 3, 3, 3, 2, yes
6627789108b41ca2, outer, 4, 14, 20s, 3, yes, 3, 4, 3, 3, 3, 3, yes
da1b2cc86155f95b, intentional, 4, 16, 30s, 4, yes, 4, 3, 1, 4, 3, 2, yes
cac4664e95e21547, full, 2, 19, 20s, 3, yes, 2, 3, 2, 4, 4, 4, yes
00fcde600f92f2a0, outer, 2, 11, 20s, 4, yes, 3, 4, 1, 3, 3, 4, yes
86f17ac44dc7e324, full, 3, 9, 20s, 4, yes, 2, 4, 3, 3, 2, 3, yes
cfae3ca2f65f0b94, intentional, 1, 15, , , , , , , , , , yes
71e4da43e7c685d7, full, 5, 15, 20s, 4, yes, 2, 4, 1, 3, 2, 3, yes
628c5feb96e74550, outer, 1, 15, 30s, 4, yes, 4, 4, 4, 2, 1, 1, yes
c6bd40b0a7053499, outer, 5, 13, 30s, 4, yes, 3, 4, 1, 2, 2, 2, yes
f9c5041c085435cf, full, 1, 18, 20s, 4, yes, 3, 4, 3, 3, 1, 3, yes
0b1a2a0acb3dbf7d, outer, 4, 16, 50s, 3, yes, 2, 4, 1, 3, 3, 4, yes
72baf9552ea98e03, full, 3, 10, 30s, 4, yes, 3, 4, 3, 3, 2, 2, yes
a2eab9ff05e364f6, outer, 5, 8, 30s, 4, yes, 2, 4, 1, 3, 3, 4, yes
250d650b8522d958, full, 4, 8, 20s, 4, yes, 2, 4, 2, 3, 2, 2, yes
cf2a5d42843b7397, intentional, 4, 17, 30s, 4, yes, 3, 4, 1, 3, 3, 2, yes
53b26ce8a91654ea, full, 1, 15, 30s, 4, yes, 4, 4, 4, 5, 2, 3, yes
b42f6b3c826e14ff, outer, 3, 5, 30s, 4, yes, 3, 3, 3, 3, 2, 2, yes
5f60b9ee05cf73cc, full, 2, 18, 20s, 4, yes, 3, 3, 1, 4, 4, 4, yes
e9f1e39464eb6aa4, intentional, 1, 18, 20s, 4, yes, 3, 4, 2, 3, 2, 1, yes
23062825a1bc28fc, intentional, 2, 17, 40s, 4, yes, 4, 4, 4, 3, 1, 1, yes
da31e902dead47e8, intentional, 5, 15, 20s, 4, yes, 3, 4, 2, 3, 2, 1, yes
b2c6bef0a1ed09a8, outer, 4, 14, 20s, 4, yes, 1, 1, 1, 3, 3, 4, yes
92859eb517ad4608, outer, 3, 8, 20s, 4, yes, 3, 4, 2, 4, 2, 2, yes
ebcd1390ce4a6193, outer, 1, 15, 30s, 4, yes, 2, 2, 2, 4, 3, 4, yes
1593ac699e340f60, intentional, 2, 16, 30s, 4, yes, 1, 1, 1, 2, 2, 2, yes
09d75720fe852e72, intentional, 2, 16, 20s, 4, yes, 4, 4, 4, 2, 2, 1, yes
127d4985fd094b11, intentional, 1, 7, 20s, 3, yes, 1, 1, 1, 2, 1, 1, yes
cc9f58c126cc648e, outer, 4, 13, 50s, 4, yes, 3, 4, 2, 3, 3, 3, yes
71596b62c08f2aef, intentional, 1, 16, 20s, 2, no, 3, 4, 1, 3, 1, 1, yes
7c410fab0792a1a6, full, 5, 4, 20s, 4, yes, 3, 3, 3, 3, 1, 1, yes
7a483b4fbdf50717, outer, 4, 16, 30s, 4, yes, 2, 2, 1, 4, 3, 2, yes
5d3421e2ae1d7ba3, outer, 1, 16, 20s, 4, no, 3, 3, 3, 3, 2, 2, yes
fcb0678812970909, outer, 1, 16, 30s, 4, yes, 1, 1, 1, 4, 4, 4, yes
2febf2d649e0bd3a, outer, 3, 9, 20s, 3, no, 2, 3, 2, 4, 3, 2, yes
393febb284db5d16, intentional, 5, 15, 40s, 4, yes, 4, 4, 4, 2, 2, 2, yes
b2855bce0b5908c6, intentional, 3, 16, 30s, 4, yes, 3, 4, 3, 4, 3, 4, yes
d942921e8c763b47, outer, 5, 15, 20s, 4, yes, 3, 4, 2, 4, 3, 5, yes
e5bf83d96f9751cf, full, 5, 16, , , , , , , 2, 2, 2, yes
4f61478ff21223b0, full, 4, 10, 30s, 4, yes, 2, 3, 1, 3, 2, 2, yes
19a0a2235b345add, intentional, 1, 19, 40s, 4, yes, 2, 3, 2, 4, 3, 4, yes
8fcaa62476ea7c26, outer, 5, 17, 20s, 4, yes, 2, 4, 1, 3, 2, 1, yes
e9402a9ba7d42b70, full, 2, 17, 40s, 4, yes, 3, 4, 1, 3, 2, 2, yes
05342ea0a157f2f6, outer, 2, 8, 40s, 4, yes, 3, 2, 2, 2, 1, 3, yes
eebd59d309b409f1, intentional, 5, 16, 20s, 4, yes, 3, 4, 3, 3, 2, 2, yes
ae75dd4c2c8dc843, full, 1, 1, 50s, 3, no, 1, 1, 1, 4, 3, 4, yes
70365808c334216b, full, 4, 16, 40s, 4, yes, 4, 4, 3, 3, 2, 1, yes
befac2ddbf9df4dd, full, 1, 19, 50s, 3, yes, 1, 1, 1, 4, 4, 5, yes
d50a5784d54f4c76, outer, 1, 11, 20s, 4, yes, 3, 3, 2, 4, 2, 2, yes
ecf029ec946c0efa, intentional, 1, 14, 20s, 4, yes, 2, 2, 2, 2, 2, 2, yes
92977e45eb872e9b, full, 1, 20, 30s, 3, no, 3, 4, 1, 5, 3, 3, yes
95d41a301cf5e2b3, intentional, 1, 17, 30s, 4, yes, 3, 4, 1, 3, 2, 2, yes
2119fe68a204e42a, outer, 2, 4, 20s, 4, yes, 4, 4, 4, 3, 2, 4, yes
37c7c349aa426fce, intentional, 4, 17, 50s, 4, yes, 3, 4, 1, 3, 3, 3, yes
9c4f781173d0fb2d, intentional, 3, 13, 20s, 4, yes, 3, 4, 2, 2, 1, 1, yes
7d60c2f6cdea2895, full, 4, 2, 30s, 3, yes, 2, 4, 1, 2, 2, 2, yes
4129b562fe425a0b, full, 4, 2, 20s, 4, yes, 4, 4, 4, 4, 1, 4, yes
e94bf9e6daf555e4, intentional, 1, 14, , , , , , , , , , yes
767257f0a1f98ea8, outer, 4, 18, 20s, 4, yes, 2, 2, 1, 4, 3, 4, yes
